Model,Reward,Deficiency,Export
Greedy,34765444819.19367,31364039.48218613,236555303.0603406
Greedy,34964175894.98587,30727070.89147411,236275021.2578776
Greedy,35926910044.399315,30378591.17579084,240391732.57357827
Greedy,34744080410.535034,32273669.4273447,238267740.90736458
Greedy,34191535013.045578,31715317.449818283,234388309.96486446
Greedy,35608552675.68715,29863996.034231264,237770755.44689825
Greedy,34864108708.919304,31833636.997119483,237987817.5388355
Greedy,35100435975.19295,30635043.172821775,236772266.22160828
Greedy,33974979685.460575,31799908.074057933,233474714.57541874
Greedy,36062799896.61645,29586957.85324678,239487915.1895758
Greedy,34558318072.35892,31787523.54115721,236366637.444109
Greedy,34439520192.101555,31326759.609889146,234851120.18028608
Greedy,35163740865.90311,30346147.826770727,236510999.983057
Greedy,35533991643.12434,30807370.255555242,239284698.7267322
Greedy,35951861103.98189,31033953.992873244,241827213.50565594
Greedy,34997910796.694916,31041465.59757264,237072485.17861986
Greedy,35278856971.08707,30057832.996592574,236509950.8486205
Greedy,35272393283.08792,31486071.428261448,239334109.2719625
Greedy,35269368100.950294,31137262.42047825,238621365.34570798
Greedy,34887901619.58789,30326095.505654328,235091699.1092481
Greedy,35390214877.2225,30383734.80721134,237718544.00053522
Greedy,35880038888.79199,29425921.44560772,238252037.3351754
Greedy,36547976729.45801,29764442.211562358,242268768.07041472
Greedy,34950662324.59723,30699558.26443191,236152428.15185
Greedy,34861734487.77916,30425574.215366393,235159820.86962858
Greedy,36137705467.77212,29132756.771740336,238954040.88234127
Greedy,34574898830.745346,31293749.482942075,235461993.1196109
Greedy,35886723614.671104,30094917.32681629,239623452.7269881
Greedy,34778030423.56235,31287413.4002638,236464978.91833934
Greedy,33411421972.189804,31835104.976669576,230727319.81428817
Greedy,35992501679.04388,30653898.943471335,241270306.28216207
Greedy,35189356301.52612,31492285.516250104,238931352.5401308
Greedy,35282822505.89565,32033185.68777439,240480483.90502706
Greedy,33880387982.15357,32667655.249275506,234737250.40931886
Greedy,36020853516.75348,30151447.713906616,240407163.01158062
Greedy,36159709627.87773,28789853.03069383,238378254.2007763
Greedy,35603979412.57651,29234520.277160153,236488937.61720282
Greedy,36561221037.592415,29770843.831051715,242347792.8500655
Greedy,34732025771.92781,30828910.887284398,235317950.63420784
Greedy,35284304774.843506,29925890.292436108,236273304.45908973
Greedy,34916810377.07466,32552789.482775293,239689630.85092387
Greedy,35345554292.772026,30978574.28825123,238684920.0403626
Greedy,35549590193.24139,29455549.01682136,236659048.99984968
Greedy,35264493293.81738,31543535.281560414,239409537.03220776
Greedy,35948844880.51112,30650906.163998123,241046036.73055187
Greedy,34508809194.59817,30514316.850995295,233572679.67498142
Greedy,35154223723.39547,30562810.637103137,236896739.8911836
Greedy,34757335625.9962,31122108.863540716,236030895.85706246
Greedy,34748960824.44652,31397422.28766585,236539648.69756433
Greedy,34818819316.22304,29329192.657618,232752481.8963512
Greedy,34659427311.477104,32450797.0236058,238198730.60459712
Greedy,34813075514.28322,31571373.395530075,237208124.36247623
Greedy,35444759407.88306,30028453.917428076,237280704.87427142
Greedy,35440262895.429214,30421628.38776011,238044571.2526663
Greedy,35797263102.02714,30927086.294147246,240840488.0984302
Greedy,36583222589.74956,29886087.198344808,242688287.3454374
Greedy,35432544828.07165,29311929.239847273,235786582.6200528
Greedy,34679871600.57839,30980256.947528645,235359871.89794925
Greedy,35797653774.946655,29392010.43351857,237772289.74177045
Greedy,34761015491.70401,31055491.024019912,235916059.50655988
Greedy,35883495397.54216,29780665.760898426,238978808.50950766
Greedy,35968797813.28538,30148721.897443887,240141432.86131465
Greedy,35361045692.45827,30765250.67767393,238335729.8176392
Greedy,35589644971.33738,32495429.194690805,242939083.24606848
Greedy,36497392529.58126,30470102.532055132,243427167.71201655
