region,year,eurostat_crop_category,production_structure,eurostat_area_thousand_ha,region_normalised,eurostat_area_ha
Provence-Alpes-Côte d’Azur,2024,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,64.5,provence-alpes-cote d'azur,64500.0
Corse,2015,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1.5,corse,1500.0
Corse,2016,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1.54,corse,1540.0
Corse,2017,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1.53,corse,1530.0
Corse,2018,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1.39,corse,1390.0
Corse,2019,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1.39,corse,1390.0
Corse,2020,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1.21,corse,1210.0
Corse,2021,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1.11,corse,1110.0
Corse,2022,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1.17,corse,1170.0
Corse,2023,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1.09,corse,1090.0
Corse,2024,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1.1,corse,1100.0
Guadeloupe,2015,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.0,guadeloupe,0.0
Guadeloupe,2016,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.0,guadeloupe,0.0
Guadeloupe,2017,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.0,guadeloupe,0.0
Guadeloupe,2018,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.0,guadeloupe,0.0
Guadeloupe,2019,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.0,guadeloupe,0.0
Guadeloupe,2020,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.0,guadeloupe,0.0
Guadeloupe,2021,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.0,guadeloupe,0.0
Guadeloupe,2022,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.0,guadeloupe,0.0
Guadeloupe,2023,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.0,guadeloupe,0.0
Guadeloupe,2024,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.0,guadeloupe,0.0
Martinique,2015,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.01,martinique,10.0
Martinique,2016,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.01,martinique,10.0
Martinique,2017,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.02,martinique,20.0
Martinique,2018,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.02,martinique,20.0
Martinique,2019,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.02,martinique,20.0
Martinique,2020,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.0,martinique,0.0
Martinique,2021,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.0,martinique,0.0
Martinique,2022,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.0,martinique,0.0
Martinique,2023,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.0,martinique,0.0
Martinique,2024,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.0,martinique,0.0
Guyane,2015,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1.93,guyane,1930.0
Guyane,2016,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,2.1,guyane,2100.0
Guyane,2017,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1.45,guyane,1450.0
Guyane,2018,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.83,guyane,830.0
Guyane,2019,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.78,guyane,780.0
Guyane,2020,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.32,guyane,320.0
Guyane,2021,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.0,guyane,0.0
Guyane,2022,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.31,guyane,310.0
Guyane,2023,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.3,guyane,300.0
Guyane,2024,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.3,guyane,300.0
La Réunion,2015,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.09,la reunion,90.0
La Réunion,2016,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.09,la reunion,90.0
La Réunion,2017,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.09,la reunion,90.0
La Réunion,2018,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.09,la reunion,90.0
La Réunion,2019,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.09,la reunion,90.0
La Réunion,2020,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.02,la reunion,20.0
La Réunion,2021,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.02,la reunion,20.0
La Réunion,2022,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.02,la reunion,20.0
La Réunion,2023,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.03,la reunion,30.0
La Réunion,2024,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.03,la reunion,30.0
Mayotte,2015,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,,mayotte,
Mayotte,2016,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.01,mayotte,10.0
Mayotte,2017,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.01,mayotte,10.0
Mayotte,2018,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.01,mayotte,10.0
Mayotte,2019,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.01,mayotte,10.0
Mayotte,2020,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.01,mayotte,10.0
Mayotte,2021,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.01,mayotte,10.0
Mayotte,2022,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.01,mayotte,10.0
Mayotte,2023,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.01,mayotte,10.0
Mayotte,2024,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.01,mayotte,10.0
France,2015,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (sown/harvested/production) - thousand hectares,296.18,france,296180.0
France,2016,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (sown/harvested/production) - thousand hectares,328.79,france,328790.0
France,2017,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (sown/harvested/production) - thousand hectares,358.65,france,358650.0
France,2018,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (sown/harvested/production) - thousand hectares,292.86,france,292860.0
France,2019,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (sown/harvested/production) - thousand hectares,312.8,france,312800.0
France,2020,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (sown/harvested/production) - thousand hectares,389.26,france,389260.0
France,2021,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (sown/harvested/production) - thousand hectares,391.95,france,391950.0
France,2022,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (sown/harvested/production) - thousand hectares,308.71,france,308710.0
France,2023,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (sown/harvested/production) - thousand hectares,353.69,france,353690.0
France,2024,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (sown/harvested/production) - thousand hectares,320.83,france,320830.0
Ile de France,2015,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (sown/harvested/production) - thousand hectares,21.52,ile de france,21520.0
Ile de France,2016,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (sown/harvested/production) - thousand hectares,19.45,ile de france,19450.0
Ile de France,2017,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (sown/harvested/production) - thousand hectares,16.42,ile de france,16420.0
Ile de France,2018,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (sown/harvested/production) - thousand hectares,11.53,ile de france,11530.0
Ile de France,2019,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (sown/harvested/production) - thousand hectares,13.59,ile de france,13590.0
Ile de France,2020,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (sown/harvested/production) - thousand hectares,20.18,ile de france,20180.0
Ile de France,2021,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),Area (sown/harvested/production) - thousand hectares,18.95,ile de france,18950.0
